technology,innovation,total_docs,reviewed,relevant
Synonyms,total,506,422,240
total,RD,1564,1562,1518
Synonyms,RD,36,1562,35
total,Demos,259,257,53
Synonyms,Demos,9,257,4
total,Scaleup,759,755,339
Synonyms,Scaleup,38,755,26
total,Demandpull,424,423,167
Synonyms,Demandpull,36,423,17
total,Nichemarkets,55,54,18
Synonyms,Nichemarkets,4,54,3
total,Publicaccept,1310,1023,153
Synonyms,Publicaccept,36,1023,9
total,Innovationgeneral,3122,0,0
Synonyms,Innovationgeneral,84,0,0
total,RDNETS,0,0,0
Synonyms,RDNETS,0,0,0
total,DemosNETS,0,0,0
Synonyms,DemosNETS,0,0,0
total,ScaleupNETS,1,0,0
Synonyms,ScaleupNETS,0,0,0
total,DemandpullNETS,0,0,0
Synonyms,DemandpullNETS,0,0,0
total,NichemarketsNETS,2,2,1
Synonyms,NichemarketsNETS,0,2,0
total,PublicacceptNETS,0,0,0
Synonyms,PublicacceptNETS,0,0,0
total,InnovationgeneralNETS,0,0,0
Synonyms,InnovationgeneralNETS,0,0,0
Enhanced Weathering,total,226,115,36
total,RD,1564,1562,1518
Enhanced Weathering,RD,48,1562,47
total,Demos,259,257,53
Enhanced Weathering,Demos,9,257,1
total,Scaleup,759,755,339
Enhanced Weathering,Scaleup,33,755,16
total,Demandpull,424,423,167
Enhanced Weathering,Demandpull,7,423,5
total,Nichemarkets,55,54,18
Enhanced Weathering,Nichemarkets,2,54,0
total,Publicaccept,1310,1023,153
Enhanced Weathering,Publicaccept,29,1023,8
total,Innovationgeneral,3122,0,0
Enhanced Weathering,Innovationgeneral,104,0,0
total,RDNETS,0,0,0
Enhanced Weathering,RDNETS,0,0,0
total,DemosNETS,0,0,0
Enhanced Weathering,DemosNETS,0,0,0
total,ScaleupNETS,1,0,0
Enhanced Weathering,ScaleupNETS,0,0,0
total,DemandpullNETS,0,0,0
Enhanced Weathering,DemandpullNETS,0,0,0
total,NichemarketsNETS,2,2,1
Enhanced Weathering,NichemarketsNETS,0,2,0
total,PublicacceptNETS,0,0,0
Enhanced Weathering,PublicacceptNETS,0,0,0
total,InnovationgeneralNETS,0,0,0
Enhanced Weathering,InnovationgeneralNETS,0,0,0
Blue Carbon,total,216,118,16
total,RD,1564,1562,1518
Blue Carbon,RD,60,1562,59
total,Demos,259,257,53
Blue Carbon,Demos,4,257,0
total,Scaleup,759,755,339
Blue Carbon,Scaleup,43,755,31
total,Demandpull,424,423,167
Blue Carbon,Demandpull,35,423,15
total,Nichemarkets,55,54,18
Blue Carbon,Nichemarkets,0,54,0
total,Publicaccept,1310,1023,153
Blue Carbon,Publicaccept,69,1023,11
total,Innovationgeneral,3122,0,0
Blue Carbon,Innovationgeneral,146,0,0
total,RDNETS,0,0,0
Blue Carbon,RDNETS,0,0,0
total,DemosNETS,0,0,0
Blue Carbon,DemosNETS,0,0,0
total,ScaleupNETS,1,0,0
Blue Carbon,ScaleupNETS,1,0,0
total,DemandpullNETS,0,0,0
Blue Carbon,DemandpullNETS,0,0,0
total,NichemarketsNETS,2,2,1
Blue Carbon,NichemarketsNETS,2,2,1
total,PublicacceptNETS,0,0,0
Blue Carbon,PublicacceptNETS,0,0,0
total,InnovationgeneralNETS,0,0,0
Blue Carbon,InnovationgeneralNETS,0,0,0
BECCS,total,564,456,209
total,RD,1564,1562,1518
BECCS,RD,119,1562,98
total,Demos,259,257,53
BECCS,Demos,29,257,10
total,Scaleup,759,755,339
BECCS,Scaleup,105,755,52
total,Demandpull,424,423,167
BECCS,Demandpull,102,423,46
total,Nichemarkets,55,54,18
BECCS,Nichemarkets,9,54,5
total,Publicaccept,1310,1023,153
BECCS,Publicaccept,116,1023,21
total,Innovationgeneral,3122,0,0
BECCS,Innovationgeneral,251,0,0
total,RDNETS,0,0,0
BECCS,RDNETS,0,0,0
total,DemosNETS,0,0,0
BECCS,DemosNETS,0,0,0
total,ScaleupNETS,1,0,0
BECCS,ScaleupNETS,0,0,0
total,DemandpullNETS,0,0,0
BECCS,DemandpullNETS,0,0,0
total,NichemarketsNETS,2,2,1
BECCS,NichemarketsNETS,0,2,0
total,PublicacceptNETS,0,0,0
BECCS,PublicacceptNETS,0,0,0
total,InnovationgeneralNETS,0,0,0
BECCS,InnovationgeneralNETS,0,0,0
Soil Carbon Sequestration,total,1878,1266,491
total,RD,1564,1562,1518
Soil Carbon Sequestration,RD,746,1562,742
total,Demos,259,257,53
Soil Carbon Sequestration,Demos,98,257,23
total,Scaleup,759,755,339
Soil Carbon Sequestration,Scaleup,262,755,98
total,Demandpull,424,423,167
Soil Carbon Sequestration,Demandpull,112,423,45
total,Nichemarkets,55,54,18
Soil Carbon Sequestration,Nichemarkets,21,54,7
total,Publicaccept,1310,1023,153
Soil Carbon Sequestration,Publicaccept,629,1023,89
total,Innovationgeneral,3122,0,0
Soil Carbon Sequestration,Innovationgeneral,1329,0,0
total,RDNETS,0,0,0
Soil Carbon Sequestration,RDNETS,0,0,0
total,DemosNETS,0,0,0
Soil Carbon Sequestration,DemosNETS,0,0,0
total,ScaleupNETS,1,0,0
Soil Carbon Sequestration,ScaleupNETS,0,0,0
total,DemandpullNETS,0,0,0
Soil Carbon Sequestration,DemandpullNETS,0,0,0
total,NichemarketsNETS,2,2,1
Soil Carbon Sequestration,NichemarketsNETS,0,2,0
total,PublicacceptNETS,0,0,0
Soil Carbon Sequestration,PublicacceptNETS,0,0,0
total,InnovationgeneralNETS,0,0,0
Soil Carbon Sequestration,InnovationgeneralNETS,0,0,0
Ocean Alkalinisation,total,26,25,19
total,RD,1564,1562,1518
Ocean Alkalinisation,RD,5,1562,5
total,Demos,259,257,53
Ocean Alkalinisation,Demos,0,257,0
total,Scaleup,759,755,339
Ocean Alkalinisation,Scaleup,5,755,5
total,Demandpull,424,423,167
Ocean Alkalinisation,Demandpull,2,423,2
total,Nichemarkets,55,54,18
Ocean Alkalinisation,Nichemarkets,0,54,0
total,Publicaccept,1310,1023,153
Ocean Alkalinisation,Publicaccept,7,1023,2
total,Innovationgeneral,3122,0,0
Ocean Alkalinisation,Innovationgeneral,14,0,0
total,RDNETS,0,0,0
Ocean Alkalinisation,RDNETS,0,0,0
total,DemosNETS,0,0,0
Ocean Alkalinisation,DemosNETS,0,0,0
total,ScaleupNETS,1,0,0
Ocean Alkalinisation,ScaleupNETS,0,0,0
total,DemandpullNETS,0,0,0
Ocean Alkalinisation,DemandpullNETS,0,0,0
total,NichemarketsNETS,2,2,1
Ocean Alkalinisation,NichemarketsNETS,0,2,0
total,PublicacceptNETS,0,0,0
Ocean Alkalinisation,PublicacceptNETS,0,0,0
total,InnovationgeneralNETS,0,0,0
Ocean Alkalinisation,InnovationgeneralNETS,0,0,0
Afforestation/reforestation,total,3346,1487,494
total,RD,1564,1562,1518
Afforestation/reforestation,RD,468,1562,451
total,Demos,259,257,53
Afforestation/reforestation,Demos,66,257,15
total,Scaleup,759,755,339
Afforestation/reforestation,Scaleup,215,755,126
total,Demandpull,424,423,167
Afforestation/reforestation,Demandpull,149,423,70
total,Nichemarkets,55,54,18
Afforestation/reforestation,Nichemarkets,16,54,5
total,Publicaccept,1310,1023,153
Afforestation/reforestation,Publicaccept,458,1023,19
total,Innovationgeneral,3122,0,0
Afforestation/reforestation,Innovationgeneral,1000,0,0
total,RDNETS,0,0,0
Afforestation/reforestation,RDNETS,0,0,0
total,DemosNETS,0,0,0
Afforestation/reforestation,DemosNETS,0,0,0
total,ScaleupNETS,1,0,0
Afforestation/reforestation,ScaleupNETS,0,0,0
total,DemandpullNETS,0,0,0
Afforestation/reforestation,DemandpullNETS,0,0,0
total,NichemarketsNETS,2,2,1
Afforestation/reforestation,NichemarketsNETS,0,2,0
total,PublicacceptNETS,0,0,0
Afforestation/reforestation,PublicacceptNETS,0,0,0
total,InnovationgeneralNETS,0,0,0
Afforestation/reforestation,InnovationgeneralNETS,0,0,0
Biochar,total,888,863,101
total,RD,1564,1562,1518
Biochar,RD,357,1562,356
total,Demos,259,257,53
Biochar,Demos,55,257,12
total,Scaleup,759,755,339
Biochar,Scaleup,102,755,29
total,Demandpull,424,423,167
Biochar,Demandpull,35,423,9
total,Nichemarkets,55,54,18
Biochar,Nichemarkets,12,54,7
total,Publicaccept,1310,1023,153
Biochar,Publicaccept,166,1023,23
total,Innovationgeneral,3122,0,0
Biochar,Innovationgeneral,591,0,0
total,RDNETS,0,0,0
Biochar,RDNETS,0,0,0
total,DemosNETS,0,0,0
Biochar,DemosNETS,0,0,0
total,ScaleupNETS,1,0,0
Biochar,ScaleupNETS,0,0,0
total,DemandpullNETS,0,0,0
Biochar,DemandpullNETS,0,0,0
total,NichemarketsNETS,2,2,1
Biochar,NichemarketsNETS,0,2,0
total,PublicacceptNETS,0,0,0
Biochar,PublicacceptNETS,0,0,0
total,InnovationgeneralNETS,0,0,0
Biochar,InnovationgeneralNETS,0,0,0
Direct Air Capture,total,326,319,223
total,RD,1564,1562,1518
Direct Air Capture,RD,89,1562,83
total,Demos,259,257,53
Direct Air Capture,Demos,47,257,7
total,Scaleup,759,755,339
Direct Air Capture,Scaleup,61,755,29
total,Demandpull,424,423,167
Direct Air Capture,Demandpull,23,423,6
total,Nichemarkets,55,54,18
Direct Air Capture,Nichemarkets,4,54,1
total,Publicaccept,1310,1023,153
Direct Air Capture,Publicaccept,34,1023,4
total,Innovationgeneral,3122,0,0
Direct Air Capture,Innovationgeneral,206,0,0
total,RDNETS,0,0,0
Direct Air Capture,RDNETS,0,0,0
total,DemosNETS,0,0,0
Direct Air Capture,DemosNETS,0,0,0
total,ScaleupNETS,1,0,0
Direct Air Capture,ScaleupNETS,0,0,0
total,DemandpullNETS,0,0,0
Direct Air Capture,DemandpullNETS,0,0,0
total,NichemarketsNETS,2,2,1
Direct Air Capture,NichemarketsNETS,0,2,0
total,PublicacceptNETS,0,0,0
Direct Air Capture,PublicacceptNETS,0,0,0
total,InnovationgeneralNETS,0,0,0
Direct Air Capture,InnovationgeneralNETS,0,0,0
Ocean fertilisation,total,782,627,207
total,RD,1564,1562,1518
Ocean fertilisation,RD,164,1562,164
total,Demos,259,257,53
Ocean fertilisation,Demos,21,257,5
total,Scaleup,759,755,339
Ocean fertilisation,Scaleup,109,755,34
total,Demandpull,424,423,167
Ocean fertilisation,Demandpull,37,423,4
total,Nichemarkets,55,54,18
Ocean fertilisation,Nichemarkets,4,54,0
total,Publicaccept,1310,1023,153
Ocean fertilisation,Publicaccept,106,1023,22
total,Innovationgeneral,3122,0,0
Ocean fertilisation,Innovationgeneral,362,0,0
total,RDNETS,0,0,0
Ocean fertilisation,RDNETS,0,0,0
total,DemosNETS,0,0,0
Ocean fertilisation,DemosNETS,0,0,0
total,ScaleupNETS,1,0,0
Ocean fertilisation,ScaleupNETS,0,0,0
total,DemandpullNETS,0,0,0
Ocean fertilisation,DemandpullNETS,0,0,0
total,NichemarketsNETS,2,2,1
Ocean fertilisation,NichemarketsNETS,0,2,0
total,PublicacceptNETS,0,0,0
Ocean fertilisation,PublicacceptNETS,0,0,0
total,InnovationgeneralNETS,0,0,0
Ocean fertilisation,InnovationgeneralNETS,0,0,0
