id,label,timeset,weight<links>,weight<citations>,cluster,url,score<pub._year>,score<norm._citations>,weight<norm._citations>,weight<total_link_strength>,score<citations>,description
3.0,tappan (2004),,25.0,12.0,5.0,http://dx.doi.org/10.1016/j.jaridenv.2004.04.002,2004.0,0.1071,0.1071,30.0,12.0,"<table><tr><td>Authors:</td><td>tappan, gg; tieszen, ll; toure, a</td></tr><tr><td>Title:</td><td>sequestration of carbon in soil organic matter in senegal: an overview</td></tr><tr><td>Source:</td><td>journal of arid environments, 59(3), 409-425</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"
4.0,lal (2004),,57.0,943.0,1.0,http://dx.doi.org/10.1016/j.geoderma.2004.01.032,2004.0,8.4196,8.4196,234.0,943.0,"<table><tr><td>Authors:</td><td>lal, r</td></tr><tr><td>Title:</td><td>soil carbon sequestration to mitigate climate change</td></tr><tr><td>Source:</td><td>geoderma, 123(1-2), 1-22</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"
5.0,chimner (2000),,42.0,89.0,5.0,,2000.0,0.6334,0.6334,80.0,89.0,"<table><tr><td>Authors:</td><td>chimner, ra; kaye, jp; kaye, mw; resh, sc</td></tr><tr><td>Title:</td><td>nutrient and carbon dynamics in a replacement series of eucalyptus and albizia trees</td></tr><tr><td>Source:</td><td>ecology, 81(12), 3267-3273</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"
6.0,dirks (1993),,16.0,62.0,1.0,http://dx.doi.org/10.1007/bf01104990,1993.0,2.1379,2.1379,18.0,62.0,"<table><tr><td>Authors:</td><td>dirks, bom; glenn, ep; ojima, ds; owensby, ce; scurlock, jo</td></tr><tr><td>Title:</td><td>assessment of c budget for grasslands and drylands of the world</td></tr><tr><td>Source:</td><td>water air and soil pollution, 70(1-4), 95-109</td></tr><tr><td>Year:</td><td>1993</td></tr></table>"
8.0,heller (2003),,14.0,209.0,1.0,http://dx.doi.org/10.1016/s0961-9534(02)00190-3,2003.0,2.6352,2.6352,17.0,209.0,"<table><tr><td>Authors:</td><td>heller, mc; keoleian, ga; volk, ta</td></tr><tr><td>Title:</td><td>life cycle assessment of a willow bioenergy cropping system</td></tr><tr><td>Source:</td><td>biomass & bioenergy, 25(2), 147-165</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"
9.0,almendros (2003),,8.0,14.0,4.0,http://dx.doi.org/10.1016/s0048-9697(03)00255-9,2003.0,0.1765,0.1765,8.0,14.0,"<table><tr><td>Authors:</td><td>almendros, g; ballesta, rj; zancada, mc</td></tr><tr><td>Title:</td><td>humus quality after eucalypt reforestations in asturias (northern spain)</td></tr><tr><td>Source:</td><td>science of the total environment, 313(1-3), 245-258</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"
10.0,breidt (2004),,29.0,383.0,1.0,http://dx.doi.org/10.1111/j.1529-8817.2003.00730.x,2004.0,3.4196,3.4196,60.0,383.0,"<table><tr><td>Authors:</td><td>breidt, fj; conant, rt; mosier, ar; ogle, sm; paustian, k; six, j</td></tr><tr><td>Title:</td><td>the potential to mitigate global warming with no-tillage management is only realized when practised in the long term</td></tr><tr><td>Source:</td><td>global change biology, 10(2), 155-160</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"
11.0,eve (2003),,45.0,83.0,1.0,http://dx.doi.org/10.1023/a:1022888832630,2003.0,1.0465,1.0465,100.0,83.0,"<table><tr><td>Authors:</td><td>eve, m; paustian, k; sperow, m</td></tr><tr><td>Title:</td><td>potential soil c sequestration on us agricultural soils</td></tr><tr><td>Source:</td><td>climatic change, 57(3), 319-339</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"
12.0,nilsson (1997),,31.0,21.0,2.0,http://dx.doi.org/10.1023/a:1026494514131,1997.0,0.5765,0.5765,49.0,21.0,"<table><tr><td>Authors:</td><td>nilsson, s; roshkov, v; shvidenko, a</td></tr><tr><td>Title:</td><td>possibilities for increased carbon sequestration through the implementation of rational forest management in russia</td></tr><tr><td>Source:</td><td>water air and soil pollution, 94(1-2), 137-162</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"
13.0,aono (2005),,13.0,3.0,3.0,http://dx.doi.org/10.1016/j.pocean.2005.02.012,2005.0,0.056,0.056,23.0,3.0,"<table><tr><td>Authors:</td><td>aono, t; furuya, k; imai, k; kudo, i; nishioka, j; nojiri, y; ramaiah, n; saito, h; takeda, s; tsuda, a; yoshimura, t</td></tr><tr><td>Title:</td><td>effect of iron enrichment on the dynamics of transparent exopolymer particles in the western subarctic pacific</td></tr><tr><td>Source:</td><td>progress in oceanography, 64(2-4), 253-261</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
28.0,baddeley (2005),,52.0,114.0,1.0,http://dx.doi.org/10.1016/j.geoderma.2004.12.020,2005.0,2.1288,2.1288,138.0,114.0,"<table><tr><td>Authors:</td><td>baddeley, ja; bingham, ij; rees, rm; watson, ca</td></tr><tr><td>Title:</td><td>the role of plants and land management in sequestering soil carbon in temperate arable and grassland ecosystems</td></tr><tr><td>Source:</td><td>geoderma, 128(1-2), 130-154</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
29.0,krcmar-nozic (2000),,14.0,26.0,6.0,,2000.0,0.185,0.185,43.0,26.0,"<table><tr><td>Authors:</td><td>krcmar-nozic, e; stennes, b; van gorkom, r; van kooten, gc</td></tr><tr><td>Title:</td><td>economics of afforestation for carbon sequestration in western canada</td></tr><tr><td>Source:</td><td>forestry chronicle, 76(1), 165-172</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"
32.0,[anonymous] (2001),,19.0,0.0,3.0,,2001.0,0.0,0.0,32.0,0.0,"<table><tr><td>Authors:</td><td>[anonymous]</td></tr><tr><td>Title:</td><td>iron fertilization and the indian ocean</td></tr><tr><td>Source:</td><td>south african journal of science, 97(3-4), 118-118</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
41.0,cullen (1995),,21.0,76.0,3.0,,1995.0,2.5792,2.5792,78.0,76.0,"<table><tr><td>Authors:</td><td>cullen, jj</td></tr><tr><td>Title:</td><td>status of the iron hypothesis after the open-ocean enrichment experiment</td></tr><tr><td>Source:</td><td>limnology and oceanography, 40(7), 1336-1343</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
49.0,chen (2001),,38.0,621.0,2.0,http://dx.doi.org/10.1126/science.1058629,2001.0,10.7858,10.7858,75.0,621.0,"<table><tr><td>Authors:</td><td>chen, ap; ci, l; fang, jy; peng, ch; zhao, sq</td></tr><tr><td>Title:</td><td>changes in forest biomass carbon storage in china between 1949 and 1998</td></tr><tr><td>Source:</td><td>science, 292(5525), 2320-2322</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
55.0,sullivan (2004),,15.0,47.0,3.0,http://dx.doi.org/10.1029/2003jc001767,2004.0,0.4196,0.4196,35.0,47.0,"<table><tr><td>Authors:</td><td>sullivan, kf; top, z; wanninkhof, r</td></tr><tr><td>Title:</td><td>air-sea gas transfer in the southern ocean</td></tr><tr><td>Source:</td><td>journal of geophysical research-oceans, 109(c8)</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"
