id,label,timeset,grain for green,weight<links>,weight<citations>,cluster,url,score<pub._year>,score<norm._citations>,diverging incentives for afforestation from carbon sequestration: an economic analysis of the eu afforestation program in the south of italy,weight<norm._citations>,weight<total_link_strength>,score<citations>,description
2.0,ladd (1991),,,34.0,21.0,2.0,http://dx.doi.org/10.1007/bf00140167,1991.0,0.8221,,0.8221,49.0,21.0,"<table><tr><td>Authors:</td><td>ladd, l; schroeder, p</td></tr><tr><td>Title:</td><td>slowing the increase of atmospheric carbon-dioxide - a biological approach</td></tr><tr><td>Source:</td><td>climatic change, 19(3), 283-290</td></tr><tr><td>Year:</td><td>1991</td></tr></table>"
3.0,goreau (1991),,,35.0,8.0,2.0,http://dx.doi.org/10.1007/bf00142229,1991.0,0.3132,,0.3132,58.0,8.0,"<table><tr><td>Authors:</td><td>goreau, tj; myers, n</td></tr><tr><td>Title:</td><td>tropical forests and the greenhouse-effect - a management response</td></tr><tr><td>Source:</td><td>climatic change, 19(1-2), 215-225</td></tr><tr><td>Year:</td><td>1991</td></tr></table>"
4.0,joos (1991),,,50.0,79.0,5.0,http://dx.doi.org/10.1038/349772a0,1991.0,3.0925,,3.0925,79.0,79.0,"<table><tr><td>Authors:</td><td>joos, f; sarmiento, jl; siegenthaler, u</td></tr><tr><td>Title:</td><td>estimates of the effect of southern-ocean iron fertilization on atmospheric co2 concentrations</td></tr><tr><td>Source:</td><td>nature, 349(6312), 772-775</td></tr><tr><td>Year:</td><td>1991</td></tr></table>"
7.0,chakravarty (2012),,,59.0,7.0,4.0,http://dx.doi.org/10.3390/su4020210,2012.0,0.2827,,0.2827,70.0,7.0,"<table><tr><td>Authors:</td><td>chakravarty, s; socolow, r; tavoni, m</td></tr><tr><td>Title:</td><td>safe vs. fair: a formidable trade-off in tackling climate change</td></tr><tr><td>Source:</td><td>sustainability, 4(2), 210-226</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
8.0,chukwamdee (2012),,,7.0,5.0,3.0,http://dx.doi.org/10.3390/f3020431,2012.0,0.2019,,0.2019,13.0,5.0,"<table><tr><td>Authors:</td><td>chukwamdee, j; matsui, n; meepol, w; morimune, k</td></tr><tr><td>Title:</td><td>ten year evaluation of carbon stock in mangrove plantation reforested from an abandoned shrimp pond</td></tr><tr><td>Source:</td><td>forests, 3(2), 431-444</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
9.0,alongi (2012),,,10.0,67.0,3.0,http://dx.doi.org/10.4155/cmt.12.20,2012.0,2.7056,,2.7056,21.0,67.0,"<table><tr><td>Authors:</td><td>alongi, dm</td></tr><tr><td>Title:</td><td>carbon sequestration in mangrove forests</td></tr><tr><td>Source:</td><td>carbon management, 3(3), 313-322</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
10.0,chandel (2012),,,23.0,4.0,4.0,http://dx.doi.org/10.4155/cmt.12.11,2012.0,0.1615,,0.1615,24.0,4.0,"<table><tr><td>Authors:</td><td>chandel, mk; jackson, rb; kwok, g; pratson, lf</td></tr><tr><td>Title:</td><td>the potential of waste-to-energy in reducing ghg emissions</td></tr><tr><td>Source:</td><td>carbon management, 3(2), 133-144</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
11.0,lehmann (2012),,,76.0,37.0,7.0,http://dx.doi.org/10.1007/s10533-012-9764-6,2012.0,1.4941,,1.4941,190.0,37.0,"<table><tr><td>Authors:</td><td>lehmann, j; woolf, d</td></tr><tr><td>Title:</td><td>modelling the long-term response to positive and negative priming of soil organic carbon by black carbon</td></tr><tr><td>Source:</td><td>biogeochemistry, 111(1-3), 83-95</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
12.0,koul (2012),,,22.0,1.0,1.0,,2012.0,0.0404,,0.0404,24.0,1.0,"<table><tr><td>Authors:</td><td>koul, dn; panwar, p</td></tr><tr><td>Title:</td><td>soil carbon buildup and bioeconomics of different lanuduses in humid subtropics of west bengal, india</td></tr><tr><td>Source:</td><td>annals of forest research, 55(2), 253-264</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
13.0,black (2012),,,49.0,9.0,6.0,http://dx.doi.org/10.1002/ghg.1319,2012.0,0.3634,,0.3634,77.0,9.0,"<table><tr><td>Authors:</td><td>black, kd; campbell, i; davidson, k; hughes, ad; kelly, ms; stanley, ms</td></tr><tr><td>Title:</td><td>does seaweed offer a solution for bioenergy with biological carbon capture and storage?</td></tr><tr><td>Source:</td><td>greenhouse gases-science and technology, 2(6), 402-407</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
15.0,bauer (2012),,,75.0,22.0,4.0,http://dx.doi.org/10.1016/j.eneco.2012.07.022,2012.0,0.8884,,0.8884,112.0,22.0,"<table><tr><td>Authors:</td><td>bauer, n; haller, m; kriegler, e; luderer, g; pietzcker, rc</td></tr><tr><td>Title:</td><td>asia's role in mitigating climate change: a technology and sector specific analysis with remind-r</td></tr><tr><td>Source:</td><td>energy economics, 34, s378-s390</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
16.0,akashi (2012),,,90.0,11.0,6.0,http://dx.doi.org/10.1016/j.eneco.2012.04.011,2012.0,0.4442,,0.4442,151.0,11.0,"<table><tr><td>Authors:</td><td>akashi, o; hanaoka, t; hijioka, y; kainuma, m; masui, t</td></tr><tr><td>Title:</td><td>ghg emission scenarios in asia and the world: the key technologies for significant reduction</td></tr><tr><td>Source:</td><td>energy economics, 34, s346-s358</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
17.0,camps (2012),,,37.0,23.0,6.0,http://dx.doi.org/10.1016/j.ijggc.2012.07.027,2012.0,0.9288,,0.9288,66.0,23.0,"<table><tr><td>Authors:</td><td>camps, a; dixon, t; hamelinck, c; hendriks, c; hoogwijk, m; koop, k; koornneef, j; koper, m; van breevoort, p</td></tr><tr><td>Title:</td><td>global potential for biomass and carbon dioxide capture, transport and storage up to 2050</td></tr><tr><td>Source:</td><td>international journal of greenhouse gas control, 11, 117-132</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
22.0,bakker (2012),,,78.0,6.0,5.0,,2012.0,0.2423,,0.2423,290.0,6.0,"<table><tr><td>Authors:</td><td>bakker, dce; boyd, pw; chandler, c</td></tr><tr><td>Title:</td><td>a new database to explore the findings from large-scale ocean iron enrichments experiments</td></tr><tr><td>Source:</td><td>oceanography, 25(4), 64-71</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
