id,label,timeset,weight<total_link_strength>,score<citations>,score<pub._year>,weight<links>,weight<citations>,cluster,description,url
1,carter (2017),,280,0,2017,175,0,4,"<table><tr><td>Authors:</td><td>carter, ea; senftle, tp</td></tr><tr><td>Title:</td><td>the holy grail: chemistry enabling an economically viable co2 capture, utilization, and storage strategy</td></tr><tr><td>Source:</td><td>accounts of chemical research, 50(3), 472-475</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1021/acs.accounts.6b00479
2,jones (2017),,411,0,2017,93,0,4,"<table><tr><td>Authors:</td><td>jones, cw; lee, lc; liyely, rp; pang, sh; sakwa-novak, ma</td></tr><tr><td>Title:</td><td>design of aminopolymer structure to enhance performance and stability of co2 sorbents: poly(propylenimine) vs poly(ethylenimine)</td></tr><tr><td>Source:</td><td>journal of the american chemical society, 139(10), 3627-3630</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1021/jacs.7b00235
3,guo (2017),,96,0,2017,80,0,4,"<table><tr><td>Authors:</td><td>guo, fs; wang, yy; zhang, k</td></tr><tr><td>Title:</td><td>two {dy-2} single-molecule magnets formed via an in situ reaction by capturing co2 from atmosphere under ambient conditions</td></tr><tr><td>Source:</td><td>dalton transactions, 46(6), 1753-1756</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1039/c6dt04751c
4,dai (2017),,419,1,2017,110,1,4,"<table><tr><td>Authors:</td><td>dai, s; huang, k; jones, cw; liu, fj; okonkwo, c; tao, dj; yoo, cj</td></tr><tr><td>Title:</td><td>facilely synthesized meso-macroporous polymer as support of poly (ethyleneimine) for highly efficient and selective capture of co2</td></tr><tr><td>Source:</td><td>chemical engineering journal, 314, 466-476</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1016/j.cej.2016.12.004
5,custelcean (2017),,563,0,2017,171,0,4,"<table><tr><td>Authors:</td><td>custelcean, r; kidder, mk; seipp, ca; williams, nj</td></tr><tr><td>Title:</td><td>co2 capture from ambient air by crystallization with a guanidine sorbent</td></tr><tr><td>Source:</td><td>angewandte chemie-international edition, 56(4), 1042-1045</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1002/anie.201610916
6,fang (2017),,199,0,2017,152,0,1,"<table><tr><td>Authors:</td><td>fang, sb; guo, k; ji, yh; wang, sd; wang, zg; xu, xn</td></tr><tr><td>Title:</td><td>long-term growth of temperate broadleaved forests no longer benefits soil c accumulation</td></tr><tr><td>Source:</td><td>scientific reports, 7</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1038/srep42328
7,anderies (2017),,185,0,2017,129,0,3,"<table><tr><td>Authors:</td><td>anderies, jm; janssen, ma; mathias, jd</td></tr><tr><td>Title:</td><td>on our rapidly shrinking capacity to comply with the planetary boundaries on climate change</td></tr><tr><td>Source:</td><td>scientific reports, 7</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1038/srep42061
9,hao (2017),,27,1,2017,25,1,3,"<table><tr><td>Authors:</td><td>hao, y; liang, s; liu, gy; pang, my; wang, cb; wang, yf; xu, m; zhang, lx</td></tr><tr><td>Title:</td><td>trade-off between carbon reduction benefits and ecological costs of biomass-based power plants with carbon capture and storage (ccs) in china</td></tr><tr><td>Source:</td><td>journal of cleaner production, 144, 279-286</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1016/j.jclepro.2017.01.034
10,ricci (2017),,219,1,2017,108,1,3,"<table><tr><td>Authors:</td><td>ricci, o; selosse, s</td></tr><tr><td>Title:</td><td>carbon capture and storage: lessons from a storage potential and localization analysis</td></tr><tr><td>Source:</td><td>applied energy, 188, 32-44</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1016/j.apenergy.2016.11.117
11,casareto (2017),,116,0,2017,59,0,5,"<table><tr><td>Authors:</td><td>casareto, be; niraula, mp; suzuki, y</td></tr><tr><td>Title:</td><td>marine planktonic ecosystem dynamics in an artificial upwelling area of japan: phytoplankton production and biomass fate</td></tr><tr><td>Source:</td><td>journal of experimental marine biology and ecology, 487, 1-10</td></tr><tr><td>Year:</td><td>2017</td></tr></table>",http://dx.doi.org/10.1016/j.jembe.2016.11.002
