id,label,timeset,grain for green,weight<links>,weight<citations>,cluster,url,score<pub._year>,green town,score<norm._citations>,diverging incentives for afforestation from carbon sequestration: an economic analysis of the eu afforestation program in the south of italy,beijing-tianjin sandstorm source control,weight<norm._citations>,weight<total_link_strength>,stimulated,score<citations>,description
4.0,kokorin (1997),,,3.0,0.0,1.0,http://dx.doi.org/10.1016/s0306-2619(97)00020-2,1997.0,,0.0,,,0.0,5.0,,0.0,"<table><tr><td>Authors:</td><td>kokorin, ao</td></tr><tr><td>Title:</td><td>forest carbon sequestration scenarios and priorities for the russian federation action plan</td></tr><tr><td>Source:</td><td>applied energy, 56(3-4), 407-421</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"
6.0,nilsson (1997),,,59.0,21.0,1.0,http://dx.doi.org/10.1023/a:1026494514131,1997.0,,0.5765,,,0.5765,79.0,,21.0,"<table><tr><td>Authors:</td><td>nilsson, s; roshkov, v; shvidenko, a</td></tr><tr><td>Title:</td><td>possibilities for increased carbon sequestration through the implementation of rational forest management in russia</td></tr><tr><td>Source:</td><td>water air and soil pollution, 94(1-2), 137-162</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"
7.0,glendining (1997),,,44.0,217.0,2.0,http://dx.doi.org/10.1046/j.1365-2486.1997.00055.x,1997.0,,5.9569,,,5.9569,79.0,,217.0,"<table><tr><td>Authors:</td><td>glendining, mj; powlson, ds; smith, ju; smith, p</td></tr><tr><td>Title:</td><td>potential for carbon sequestration in european soils: preliminary estimates for five scenarios using results from long-term experiments</td></tr><tr><td>Source:</td><td>global change biology, 3(1), 67-79</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"
8.0,brunnert (1996),,,157.0,3.0,1.0,,1996.0,,0.1944,,,0.1944,215.0,,3.0,"<table><tr><td>Authors:</td><td>brunnert, h</td></tr><tr><td>Title:</td><td>the significance of agriculture and forestry for the global carbon cycle. how can they contribute to sequester increasing amounts of co2 in the atmosphere</td></tr><tr><td>Source:</td><td>berichte uber landwirtschaft, 74(1), 44-65</td></tr><tr><td>Year:</td><td>1996</td></tr></table>"
9.0,jamieson (1996),,,5.0,85.0,3.0,http://dx.doi.org/10.1007/bf00142580,1996.0,,5.5093,,,5.5093,7.0,,85.0,"<table><tr><td>Authors:</td><td>jamieson, d</td></tr><tr><td>Title:</td><td>ethics and intentional climate change</td></tr><tr><td>Source:</td><td>climatic change, 33(3), 323-336</td></tr><tr><td>Year:</td><td>1996</td></tr></table>"
10.0,dodson (1996),,,35.0,11.0,1.0,,1996.0,,0.713,,,0.713,44.0,,11.0,"<table><tr><td>Authors:</td><td>dodson, r; lee, jj</td></tr><tr><td>Title:</td><td>potential carbon sequestration by afforestation of pasture in the south-central united states</td></tr><tr><td>Source:</td><td>agronomy journal, 88(3), 381-384</td></tr><tr><td>Year:</td><td>1996</td></tr></table>"
11.0,andrasko (1996),,,15.0,2.0,1.0,http://dx.doi.org/10.1007/bf01204199,1996.0,,0.1296,,,0.1296,18.0,,2.0,"<table><tr><td>Authors:</td><td>andrasko, ka; kolchugina, tp; vinson, ts</td></tr><tr><td>Title:</td><td>greenhouse gas mitigation options in the forest sector of russia: national and project level assessments</td></tr><tr><td>Source:</td><td>environmental management, 20, s111-s118</td></tr><tr><td>Year:</td><td>1996</td></tr></table>"
12.0,fillipchuk (1996),,,50.0,7.0,1.0,http://dx.doi.org/10.1007/bf01204198,1996.0,,0.4537,,,0.4537,56.0,,7.0,"<table><tr><td>Authors:</td><td>fillipchuk, an; kokorin, ao; lelyakin, al; nazarov, im</td></tr><tr><td>Title:</td><td>calculation of co2 net sinks emissions in russian forests and assessment of mitigation options</td></tr><tr><td>Source:</td><td>environmental management, 20, s101-s109</td></tr><tr><td>Year:</td><td>1996</td></tr></table>"
14.0,christie (1995),,,49.0,12.0,1.0,http://dx.doi.org/10.1007/bf00546765,1995.0,,0.4432,,,0.4432,61.0,,12.0,"<table><tr><td>Authors:</td><td>christie, si; scholes, rj</td></tr><tr><td>Title:</td><td>carbon storage in eucalyptus and pine plantations in south africa</td></tr><tr><td>Source:</td><td>environmental monitoring and assessment, 38(2-3), 231-241</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
15.0,unruh (1995),,,46.0,6.0,1.0,,1995.0,,0.2216,,,0.2216,93.0,,6.0,"<table><tr><td>Authors:</td><td>unruh, jd</td></tr><tr><td>Title:</td><td>agroforestry, reforestry, and the carbon problem - the role of land and tree tenure</td></tr><tr><td>Source:</td><td>interdisciplinary science reviews, 20(3), 215-227</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
16.0,ketoff (1995),,,91.0,4.0,1.0,http://dx.doi.org/10.1016/0961-9534(95)00044-5,1995.0,,0.1477,,,0.1477,155.0,,4.0,"<table><tr><td>Authors:</td><td>ketoff, a; makundi, wr; sathaye, j</td></tr><tr><td>Title:</td><td>copath - a spreadsheet model for the estimation of carbon flows associated with the use of forest resources</td></tr><tr><td>Source:</td><td>biomass & bioenergy, 8(5), 369-380</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
17.0,xu (1995),,,1.0,28.0,1.0,http://dx.doi.org/10.1016/0961-9534(95)00026-7,1995.0,,1.0341,,,1.0341,1.0,,28.0,"<table><tr><td>Authors:</td><td>xu, dy</td></tr><tr><td>Title:</td><td>the potential for reducing atmospheric carbon by large-scale afforestation in china and related cost/benefit analysis</td></tr><tr><td>Source:</td><td>biomass & bioenergy, 8(5), 337-344</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
19.0,cullen (1995),,,93.0,76.0,5.0,,1995.0,,2.8068,,,2.8068,241.0,,76.0,"<table><tr><td>Authors:</td><td>cullen, jj</td></tr><tr><td>Title:</td><td>status of the iron hypothesis after the open-ocean enrichment experiment</td></tr><tr><td>Source:</td><td>limnology and oceanography, 40(7), 1336-1343</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
20.0,kheshgi (1995),,,17.0,64.0,3.0,http://dx.doi.org/10.1016/0360-5442(95)00035-f,1995.0,,2.3636,,,2.3636,19.0,,64.0,"<table><tr><td>Authors:</td><td>kheshgi, hs</td></tr><tr><td>Title:</td><td>sequestering atmospheric carbon-dioxide by increasing ocean alkalinity</td></tr><tr><td>Source:</td><td>energy, 20(9), 915-922</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
21.0,nilsson (1995),,,154.0,105.0,1.0,http://dx.doi.org/10.1007/bf01091928,1995.0,,3.8778,,,3.8778,270.0,,105.0,"<table><tr><td>Authors:</td><td>nilsson, s; schopfhauser, w</td></tr><tr><td>Title:</td><td>the carbon-sequestration potential of a global afforestation program</td></tr><tr><td>Source:</td><td>climatic change, 30(3), 267-293</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
23.0,harmon (1995),,,105.0,33.0,1.0,http://dx.doi.org/10.1034/j.1600-0889.47.issue1.19.x,1995.0,,1.2188,,,1.2188,160.0,,33.0,"<table><tr><td>Authors:</td><td>harmon, me; koerper, gj; lee, jj; turner, dp</td></tr><tr><td>Title:</td><td>carbon sequestration by forests of the united-states - current status and projections to the year 2040</td></tr><tr><td>Source:</td><td>tellus series b-chemical and physical meteorology, 47(1-2), 232-239</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
25.0,hall (1994),,,47.0,8.0,1.0,http://dx.doi.org/10.1016/0960-1481(94)90354-9,1994.0,,0.0677,,,0.0677,63.0,,8.0,"<table><tr><td>Authors:</td><td>hall, do; house, ji</td></tr><tr><td>Title:</td><td>biomass energy and the global carbon balance</td></tr><tr><td>Source:</td><td>renewable energy, 5(1-4), 58-66</td></tr><tr><td>Year:</td><td>1994</td></tr></table>"
26.0,braswell (1994),,,169.0,584.0,2.0,http://dx.doi.org/10.1029/94gb00993,1994.0,,4.9422,,,4.9422,232.0,,584.0,"<table><tr><td>Authors:</td><td>braswell, bh; holland, ea; mckeown, r; ojima, ds; painter, th; parton, wj; schimel, ds; townsend, ar</td></tr><tr><td>Title:</td><td>climatic, edaphic, and biotic controls over storage and turnover of carbon in soils</td></tr><tr><td>Source:</td><td>global biogeochemical cycles, 8(3), 279-293</td></tr><tr><td>Year:</td><td>1994</td></tr></table>"
27.0,andrasko (1994),,,152.0,48.0,1.0,http://dx.doi.org/10.1007/bf01098474,1994.0,,0.4062,,,0.4062,245.0,,48.0,"<table><tr><td>Authors:</td><td>andrasko, kj; dixon, rk; lee, jj; schroeder, pe; winjum, jk</td></tr><tr><td>Title:</td><td>integrated land-use systems - assessment of promising agroforest and alternative land-use practices to enhance carbon conservation and sequestration</td></tr><tr><td>Source:</td><td>climatic change, 27(1), 71-92</td></tr><tr><td>Year:</td><td>1994</td></tr></table>"
28.0,gupta (1994),,,43.0,60.0,2.0,,1994.0,,0.5078,,,0.5078,45.0,,60.0,"<table><tr><td>Authors:</td><td>gupta, rk; rao, dln</td></tr><tr><td>Title:</td><td>potential of wastelands for sequestering carbon by reforestation</td></tr><tr><td>Source:</td><td>current science, 66(5), 378-380</td></tr><tr><td>Year:</td><td>1994</td></tr></table>"
30.0,cramer (1993),,,70.0,37.0,1.0,http://dx.doi.org/10.1007/bf01105024,1993.0,,1.3045,,,1.3045,91.0,,37.0,"<table><tr><td>Authors:</td><td>cramer, wp; leemans, r; prentice, ic; solomon, am</td></tr><tr><td>Title:</td><td>the interaction of climate and land-use in future terrestrial carbon storage and release</td></tr><tr><td>Source:</td><td>water air and soil pollution, 70(1-4), 595-614</td></tr><tr><td>Year:</td><td>1993</td></tr></table>"
31.0,dixon (1993),,,77.0,42.0,1.0,http://dx.doi.org/10.1007/bf01105000,1993.0,,1.4808,,,1.4808,124.0,,42.0,"<table><tr><td>Authors:</td><td>dixon, rk; schroeder, pe; winjum, jk</td></tr><tr><td>Title:</td><td>forest management and carbon storage - an analysis of 12 key forest nations</td></tr><tr><td>Source:</td><td>water air and soil pollution, 70(1-4), 239-257</td></tr><tr><td>Year:</td><td>1993</td></tr></table>"
33.0,dirks (1993),,,54.0,62.0,2.0,http://dx.doi.org/10.1007/bf01104990,1993.0,,2.1859,,,2.1859,58.0,,62.0,"<table><tr><td>Authors:</td><td>dirks, bom; glenn, ep; ojima, ds; owensby, ce; scurlock, jo</td></tr><tr><td>Title:</td><td>assessment of c budget for grasslands and drylands of the world</td></tr><tr><td>Source:</td><td>water air and soil pollution, 70(1-4), 95-109</td></tr><tr><td>Year:</td><td>1993</td></tr></table>"
34.0,harger (1993),,,49.0,2.0,1.0,http://dx.doi.org/10.1016/0045-6535(93)90062-a,1993.0,,0.0705,,,0.0705,57.0,,2.0,"<table><tr><td>Authors:</td><td>harger, jre</td></tr><tr><td>Title:</td><td>potential limits of human dominated fossil energy-based global ecosystems</td></tr><tr><td>Source:</td><td>chemosphere, 27(6), 907-945</td></tr><tr><td>Year:</td><td>1993</td></tr></table>"
36.0,houghton (1993),,,49.0,47.0,1.0,http://dx.doi.org/10.1029/93gb00470,1993.0,,1.6571,,,1.6571,59.0,,47.0,"<table><tr><td>Authors:</td><td>houghton, ra; lefebvre, pa; unruh, jd</td></tr><tr><td>Title:</td><td>current land-cover in the tropics and its potential for sequestering carbon</td></tr><tr><td>Source:</td><td>global biogeochemical cycles, 7(2), 305-320</td></tr><tr><td>Year:</td><td>1993</td></tr></table>"
37.0,kurz (1993),,,72.0,36.0,5.0,http://dx.doi.org/10.1029/92gb02910,1993.0,,1.2692,,,1.2692,122.0,,36.0,"<table><tr><td>Authors:</td><td>kurz, kd; maierreimer, e</td></tr><tr><td>Title:</td><td>iron fertilization of the austral ocean - the hamburg model assessment</td></tr><tr><td>Source:</td><td>global biogeochemical cycles, 7(1), 229-244</td></tr><tr><td>Year:</td><td>1993</td></tr></table>"
38.0,grubler (1993),,,113.0,29.0,1.0,http://dx.doi.org/10.1016/0360-5442(93)90019-a,1993.0,,1.0224,,,1.0224,161.0,,29.0,"<table><tr><td>Authors:</td><td>grubler, a; inaba, a; messner, s; nakicenovic, n; nilsson, s; nishimura, y; rogner, hh; schafer, a; schrattenholzer, l; strubegger, m; swisher, j; victor, d; wilson, d</td></tr><tr><td>Title:</td><td>long-term strategies for mitigating global warming</td></tr><tr><td>Source:</td><td>energy, 18(5), 401</td></tr><tr><td>Year:</td><td>1993</td></tr></table>"
39.0,bekkering (1992),,,14.0,15.0,1.0,,1992.0,,0.8468,,,0.8468,16.0,,15.0,"<table><tr><td>Authors:</td><td>bekkering, td</td></tr><tr><td>Title:</td><td>using tropical forests to fix atmospheric carbon - the potential in theory and practice</td></tr><tr><td>Source:</td><td>ambio, 21(6), 414-419</td></tr><tr><td>Year:</td><td>1992</td></tr></table>"
40.0,arthur (1992),,,14.0,23.0,1.0,http://dx.doi.org/10.2307/3551419,1992.0,,1.2984,,,1.2984,17.0,,23.0,"<table><tr><td>Authors:</td><td>arthur, lm; vankooten, gc; wilson, wr</td></tr><tr><td>Title:</td><td>potential to sequester carbon in canadian forests - some economic-considerations</td></tr><tr><td>Source:</td><td>canadian public policy-analyse de politiques, 18(2), 127-138</td></tr><tr><td>Year:</td><td>1992</td></tr></table>"
42.0,dixon (1992),,,39.0,79.0,1.0,http://dx.doi.org/10.1007/bf00477103,1992.0,,4.4597,,,4.4597,70.0,,79.0,"<table><tr><td>Authors:</td><td>dixon, rk; schroeder, pe; winjum, jk</td></tr><tr><td>Title:</td><td>estimating the global potential of forest and agroforest management-practices to sequester carbon</td></tr><tr><td>Source:</td><td>water air and soil pollution, 64(1-2), 213-227</td></tr><tr><td>Year:</td><td>1992</td></tr></table>"
