wosarticle__ti;wosarticle__ab;wosarticle__py;To include;Costs, potentials, side effects;To read
Region prioritization for the development of carbon capture and utilization technologies;In recent years several strategies have been developed and adopted to reduce the levels of the Greenhouse Gas Emissions released to the atmosphere. The adoption of Carbon Capture and Utilization (CCU) technologies may contribute towards carbon sequestration as well as to the creation of high value products. This study presents a methodology to assess the potential of CO2 utilization across Europe, and to identify the European regions with the greater potential to deploy nine selected carbon dioxide utilization technologies. The results show that Germany, UK and France at the first level followed by Spain, Italy and Poland are the countries where the larger quantities of available CO2 could be found but also where the majority of the potential receiving processes are located, and therefore with the greatest potential for CO2 utilization. The study has also revealed several specific regions where reuse schemes based on CO2 could be developed both in Central Europe (Dusseldorf and Cologne - Germany, Antwerp Province and East Flanders - Belgium and Ślaskie - Poland) and in Scandinavia (Etelä-Suomi and Helsinki-Uusimaa - Finland). Finally, among all the selected technologies, concrete curing and horticulture production are the technologies with the higher potential for CO2 utilization in Europe. © 2016 Elsevier B.V. All rights reserved.;2017;1;1;
Emerging materials for lowering atmospheric carbon;CO2 emissions from anthropogenic sources and the rate at which they increase could have deep global ramifications such as irreversible climate change and increased natural disasters. Because greater than 50% of anthropogenic CO2 emissions come from small, distributed sectors such as homes, offices, and transportation sources, most renewable energy systems and on-site carbon capture technologies for reducing future CO2 emissions cannot be effectively utilized. This problem might be mediated by considering novel materials and technologies for directly capturing/removing CO2 from air. However, compared to materials for capturing CO2 at on-site emission sources, materials for capturing CO2 directly from air must be more selective to CO2, and should operate and be stable at near ambient conditions. In this review article, we briefly summarize the recent developments in materials for capturing carbon dioxide directly from air. We discuss the challenges in this field and offer a perspective for developing the current state-of-art and also highlight the potential of a few recent discoveries in materials science that show potential for advanced application of air capture technology. © 2016;2017;1;1;X
CO2 Capture from Ambient Air by Crystallization with a Guanidine Sorbent;Carbon capture and storage is an important strategy for stabilizing the increasing concentration of atmospheric CO2 and the global temperature. A possible approach toward reversing this trend and decreasing the atmospheric CO2 concentration is to remove the CO2 directly from air (direct air capture). Herein we report a simple aqueous guanidine sorbent that captures CO2 from ambient air and binds it as a crystalline carbonate salt by guanidinium hydrogen bonding. The resulting solid has very low aqueous solubility (K-sp=1.0-(4) X 10(-8)), which facilitates its separation from solution by filtration. The bound CO2 can be released by relatively mild heating of the crystals at 80-120 degrees C, which regenerates the guanidine sorbent quantitatively. Thus, this crystallization-based approach to CO2 separation from air requires minimal energy and chemical input, and offers the prospect for low-cost direct air capture technologies.;2017;1;1;
The Nature of Adsorbed Carbon Dioxide on Immobilized Amines during Carbon Dioxide Capture from Air and Simulated Flue Gas;The structure and nature of adsorbed species on solid amine sorbent under various CO2 concentrations from ambient air (0.04 vol%) to an CO2/air stream (15 vol%) have been studied by using in situ IR spectroscopy. The in situ IR study (i) provided evidence to support the zwitterion pathway for CO2 adsorption/desorption and (ii) allowed the determination of the nature of the adsorbed species. The IR-observable zwitterion was deprotonated to ammonium carbamate and carbamic acid reversibly. CO2 adsorbs on the primary amine site as a strongly adsorbed species in the form of ammonium carbamate and on the secondary amine site as a weakly adsorbed species in the form of carbamic acid. Another form of weakly adsorbed species could be ammonium carbamate on the secondary amine. An increase of the concentration of CO2 in the stream increased the CO2 capture capacity, the fraction of strongly adsorbed CO2, and the binding energy of adsorbed species. A concentration of 400 ppm CO2 in air competes over 0.5% of water vapor for adsorption on Class I amine sorbents.;2017;1;0;
Highly efficient post-combustion CO2 capture by low-temperaturesteam-aided vacuum swing adsorption using a novel polyamine-based solidsorbent;A novel amine-based solid sorbent was prepared for CO2 capture, and the CO2 adsorption characteristics were evaluated for simulated flue gas. Furthermore, CO2 capture tests using a lab-scale three-column fixed-bed system were performed. A novel amine compound was synthesized by attaching hindered functional groups to the terminal primary amino groups of a polyamine, followed by impregnation into pelletized mesoporous MSU-F silica. This novel amine-impregnated solid sorbent overcame the problem of limited CO2 diffusion and exhibited extremely high regenerability even at low temperatures. Lab-scale CO2 capture tests suggested that operation conditions such as temperature, cycle time, rinsing time, flow rate, and regeneration method directly affected CO2 capture performance. In particular, direct low-temperature steam stripping desorption drastically enhanced CO2 capture performance. Steam-aided vacuum swing adsorption (SA-VSA) process was feasible for our amine-based solid sorbent and enabled the recovery of CO2 with high purity (>98%) and recovery rate (>93%). The regeneration heat calculated from the amount of recovered CO2 and the amount of supplied steam was considerably lower (1.47 GJ/t-CO2) than that of liquid amine solvents and other amine-based solid sorbents. (C) 2016 Elsevier B.V. All rights reserved.;2017;1;0;
Parametric analysis using AMP and MEA as aqueous solvents for CO2absorption;Chemical absorption (or reactive absorption) is a common technique used for gas sweetening purposes, capturing acid components from point source emissions or even from ambient air (Cheng and Tan, 2011). CO2 reactive absorption is extensively studied as it is a very effective process, targeting to the emissions reduction of this dangerous greenhouse gas, with wide perspective for further optimization. Reactive absorption combines physical absorption and reaction between acid components and basic solvents, thus the modelling of these mechanisms is challenging and requires a multi-component design (Koronaki et al., 2013).In this work, a rate-based, steady state model, based on the two-film theory, is presented and it is validated for two alkanolamine based aqueous solvents, Mono-ethanolamine (MEA) and 2-Amino-2-methyl1-propanol (AMP). The model predictions are validated against data extracted by experiments conducted in a pilot scale absorption column with random packing. The comparisons between the model results and the experimental data reveal satisfactory predictions of the various parameters' profiles along the column.A parametric analysis is performed, investigating the effect of inlet gas and liquid flow rates, the initial liquid loading, the type of packing, the initial amine solution concentration and the gas and liquid inlet temperatures on the CO2 absorption efficiency and on the temperature of the liquid getting out the column. The sensitivity analysis shows that the gas flow rate entering the column is the most important factor influencing the CO2 removal efficiency. In addition, inlet liquid temperature has the greater statistical significance on the outlet liquid temperature. The comparison of the two solvents under the same reference conditions shows that MEA is more efficient as solvent for CO2 absorption. (C) 2016 Elsevier Ltd. All rights reserved.;2017;1;0;
Reuse and recycling of amine-functionalized silica materials for CO2adsorption;The reuse and recycling of amine-silica materials as CO2 adsorbents were investigated for understanding their industrial viability. CO2 adsorbents were obtained by grafting of diethylenetriamine (DT) or impregnation of polyethyleneimine (PEI) onto SBA-15 silica. CO2 desorption conditions were evaluated, optimizing the time and temperature to reduce energy costs. In all cases, conditions as mild as 90 degrees C and 90 min were enough to completely remove all CO2 adsorbed. After that, a number of adsorption-desorption cycles at 110 degrees C for DT (60 min) and PEI (75 min) samples were carried out in order to study their cyclability.The recycling of CO2 adsorbents after their lifespan was studied by analysing the physicochemical properties and CO2 uptake of recycled samples obtained by calcination and subsequent refunctionalization with DT or PEI. Materials obtained after grafting the calcined samples exhibited progressively thicker silica walls and lower silanol surface concentration, yielding a smaller amine efficiency during CO2 capture. On the contrary, materials obtained after impregnating the calcined samples maintained their CO2 adsorption properties even after 6 cycles, without significant changes in their silica structure or amine efficiency for CO2 adsorption. (C) 2016 Elsevier B.V. All rights reserved.;2017;1;0;
Atmospheric monitoring of carbon capture and storage leakage usingradiocarbon;We outline the methodology for detection of carbon dioxide (CO2) leaks to the atmosphere from carbon capture and storage (CCS) using measurements of radiocarbon in CO2. The radiocarbon method can unambiguously identify recently added fossil-derived CO2 such as CCS leaks due to the very large isotopic difference between radiocarbon-free fossil derived CO2 and natural CO2 sources with ambient radiocarbon levels. The detection threshold of 1 ppm of fossil-derived CO2 is comparable to other proposed atmospheric detection methods for CCS leakage. We demonstrate that this method will allow detection of a 1000 ton C yr(-1) leak 200-300 m from the source during the day and more than 600 m away at night. Using time-integrated sampling techniques, long time periods can be covered with few measurements, making the method feasible with existing laboratory-based radiocarbon measurement methods We examine the method using previously published observations and new model simulations for a case study in Taranaki, New Zealand. Plant material faithfully records the radiocarbon content of assimilated CO2 and we show that short-lived grass leaves and cellulose from tree rings provide effective time-integrated collection methods, allowing dense spatial sampling at low cost. A CO2 absorption sampler allows collection at controlled times, including nighttime, and gives similar results. (C) 2016 Elsevier Ltd. All rights reserved.;2017;0;0;
Flue-gas and direct-air capture of CO2 by porous metal-organic materials;"Sequestration of CO2, either from gas mixtures or directly from air (direct air capture), is a technological goal important to large-scale industrial processes such as gas purification and the mitigation of carbon emissions. Previously, we investigated five porous materials, three porous metal-organic materials (MOMs), a benchmark inorganic material, Zeolite 13X and a chemisorbent, TEPA-SBA-15, for their ability to adsorb CO2 directly from air and from simulated flue-gas. In this contribution, a further 10 physisorbent materials that exhibit strong interactions with CO2 have been evaluated by temperature-programmed desorption for their potential utility in carbon capture applications: four hybrid ultramicroporous materials, SIFSIX-3-Cu, DICRO-3-Ni-i, SIFSIX-2-Cu-i and MOOFOUR-1-Ni; five microporous MOMs, DMOF-1, ZIF-8, MIL-101, UiO-66 and UiO-66-NH2; an ultramicroporous MOM, Ni-4-PyC. The performance of these MOMs was found to be negatively impacted by moisture. Overall, we demonstrate that the incorporation of strong electrostatics from inorganic moieties combined with ultramicropores offers improved CO2 capture performance from even moist gas mixtures but not enough to compete with chemisorbents.This article is part of the themed issue 'Coordination polymers and metal-organic frameworks: materials by design'.";2017;1;0;
Adsorption Microcalorimetry of CO2 in Confined Aminopolymers;Aminopolymers confined within mesoporous supports have shown promise as materials for direct capture of CO2, from ambient air. In spite of this, relatively little is known about the energetics of CO2, binding in these materials, and the limited calorimetric studies published to date have focused on materials made using molecular aminosilanes rather than amine polymers. In this work, poly(ethylenimine) (PEI) is impregnated within mesoporous SBA-15, and the heats of CO2, adsorption at 30 degrees C are investigated using a Tian-Calvet calorimeter with emphasis on the role of PEI loading and CO2, pressure in the compositional region relevant to direct capture of CO2, from ambient air. In parallel, CO2, uptakes of these materials are measured using multiple complementary approaches, including both volumetric and gravimetric methods, and distinct changes in uptake as a function of CO, preskre and amine loading are observed. The CO2, sorption behavior is directly linked to textural data describing the porosity and PEI distribution in the materials.;2017;1;0;
A Life Cycle Assessment Case Study of Coal-Fired Electricity Generationwith Humidity Swing Direct Air Capture of CO2 versus MEA-BasedPostcombustion Capture;Most carbon capture and storage (CCS) envisions capturing CO2 from flue gas. Direct air capture (DAC) of CO2 has hitherto been deemed unviable because of the higher energy associated with capture at low atmospheric concentrations. We present a Life Cycle Assessment of coal-fired electricity generation that compares monoethanolamine (MEA)-based postcombustion capture (PCC) of CO2 with distributed, humidity-swing-based direct air capture (HS-DAC). Given suitable temperature, humidity, wind, and water availability, HS-DAC can be largely passive. Comparing energy requirements of HS-DAC and MEA-PCC, we find that the parasitic load of HS-DAC is less than twice that of MEA-PCC (60-72 kJ/mol versus 33-46 kJ/mol, respectively). We also compare other environmental impacts as a function of net greenhouse gas (GHG) mitigation: To achieve the same 73% mitigation as MEA-PCC, HS-DAC would increase nine other environmental impacts by on average 38%, whereas MEA-PCC would increase them by 31%. Powering distributed HS-DAC with photovoltaics (instead of coal) while including recapture of all background GHG, reduces this increase to 18%, hypothetically enabling coal-based electricity with net-zero life-cycle GHG. We conclude that, in suitable geographies, HS-DAC can complement MEA-PCC to enable CO2 capture independent of time and location of emissions and recapture background GHG from fossil-based electricity beyond flue stack emissions.;2017;1;1;
Systems Design and Economic Analysis of Direct Air Capture of CO2through Temperature Vacuum Swing Adsorption Using MIL-101(Cr)-PEI-800and mmen-Mg-2(dobpdc) MOF Adsorbents;Direct air capture (DAC) removes CO2 from the atmosphere and can therefore address sizable nonpoint sources emissions of CO2 such as those from transportation. We propose a five-step temperature vacuum swing adsorption process for direct air capture using solid adsorbents coated as films on monolithic contactors using steam as the stripping agent during desorption. We perform a modeling study and economic assessment for DAC using two metal organic frameworks, MIL-101(Cr)-PEI-800 and mmen-Mg-2(dobpdc), for which we have experimentally demonstrated film growth on monolith structures. The results indicate minimum energy requirements, and cost estimates are 0.145 MJ/mol-CO2 and $75-140/t-CO2 for MIL-101(Cr)-PEI-800, and 0.113 MJ/mol-CO2 and $60-190/t-CO2 for mmen-Mg2(dobpdc), respectively. The overall DAC cost is sensitive to adsorbent purchase cost and lifetime as well as cycle parameters such as adsorption and desorption times. We conclude that mmen-Mg2(dobpdc) has better performance compared to MIL-101(Cr)-PEI-800 in terms of energy requirements because of its higher capacity and nonlinear isotherm.;2017;1;1;
Thermodynamic models to accurately describe the PVTxy-behavior of water / carbon dioxide mixtures;Carbon dioxide/water (CO2/H2O) mixtures are of much interest in carbon capture and storage, atmospheric science, in the description of human lungs and in the processing of food and beverages. We present a comprehensive comparison of thermodynamic models for describing their PVTxy behavior, i.e. densities and phase compositions. The most accurate experimental data in the temperature range 273–478 K and at pressures below 61MPa are selected after a critical data evaluation. The most reliable phase equilibrium data are used to fit the binary interaction parameters of a wide range of thermodynamic models: cubic equations of state (EoS) with quadratic/Wong–Sandler/Huron–Vidal mixing rules, CPA, PC-SAFT and PCP-SAFT with different association schemes, and corresponding states models with various reference fluids. We test the predictive ability of the models by comparing to data outside of the region used in the parameter-fit. All of the thermodynamic models are fitted with the same experimental data and compared on the same basis, facilitating a general discussion about their strengths and weaknesses. As a benchmark for the performance of the models, we compare with the performance of two multiparameter EoS: GERG-2008 and EoS-CG. At least three fitting parameters are needed to represent the PVTxy behavior of CO2/H2O mixtures within an accuracy of 10%. By including a fourth parameter, it is possible to significantly improve the accuracy for phase compositions, where the Peng–Robinson cubic EoS with the Huron–Vidal mixing rule and volume shift gives the best results with an average accuracy of 4.5% and 2.8% for phase compositions and densities respectively. In comparison, the most accurate multiparameter EoS, EoS-CG, exhibits an average accuracy of 8.0% and 0.6% for phase compositions and densities respectively. © 2017 The Authors;2017;1;0;
Facilely synthesized meso-macroporous polymer as support of poly (ethyleneimine) for highly efficient and selective capture of CO2;Poly(ethyleneimine) (PEI) impregnated adsorbents are promising alternatives to amine-based liquid absorbents for post-combustion capture of CO2. A current challenge is to identify meso- and/or macroporous supports with large pore volumes that can be facilely synthesized from a cost-effective approach as supports for PEI. In this work, hierarchically nanoporous poly(divinylbenzene) (PDVB) is synthesized through a one-step polymerization of readily available divinylbenzene (DVB) under solvothermal conditions without use of any template or catalyst. The synthesized PDVB is found to have abundant mesomacropores, as well as a large pore volume. Subsequently, a series of PEI-impregnated PDVB sorbents is prepared and their performance for the selective adsorption of CO2 is investigated. The PEI-PDVB composites are found to exhibit promising CO2 capacities and exceptionally high CO2/N-2 selectivities. The strength of CO2 adsorption is experimentally determined by direct calorimetric measurements. The PEI-PDVB composites show excellent stability under both dry and humidified sorption conditions during extended adsorption-desorption cycles. Based on the results obtained, these PEI-PDVB composites are identified as sorbents with significant potential for application in practical CO2 capture from industrial gas streams. (C) 2016 Elsevier B.V. All rights reserved.;2017;1;0;
Two {Dy-2} single-molecule magnets formed via an in situ reaction by capturing CO2 from atmosphere under ambient conditions;Under ambient conditions, CO2 was captured from atmosphere and reduced for sequestering CO2 into two {Dy-2} single-molecule magnets through an in situ organic ligand reaction of hydrazine. A reasonable reaction mechanism is proposed, which provides a promising route towards the capturing and transforming CO2 into single-molecule magnets.;2017;1;0;
Design of Aminopolymer Structure to Enhance Performance and Stability of CO2 Sorbents: Poly(propylenimine) vs Poly(ethylenimine);Studies on aminopolymer/oxide composite materials for direct CO2 capture from air have often focused on the prototypical poly(ethylenimine) (PEI) as the aminopolymer. However, it is known that PEI will oxidatively degrade at elevated temperatures. This degradation has been ascribed to the presence of secondary amines, which, when oxidized, lose their CO2 capture capacity. Here, we demonstrate the use of small molecule poly(propylenimine) (PPI) in linear and dendritic architectures supported in silica as adsorbent materials for direct CO2 capture from air. Regardless of amine loading or aminopolymer architecture, the PPIbased sorbents are found to be more efficient for CO2 capture than PEI-based sorbents. Moreover, PPI is found to be more resistant to oxidative degradation than PEI, even while containing secondary amines, as supported by FTIR, NMR, and ESI-MS studies. These results suggest that PPI-based CO2 sorbents may allow for longer sorbent working lifetimes due to an increased tolerance to sorbent regeneration conditions and suggest that the presence of secondary amines may not mean that all aminopolymers will oxidatively degrade.;2017;1;0;
The Holy Grail: Chemistry Enabling an Economically Viable CO2 Capture, Utilization, and Storage Strategy;Technologies for reducing the concentration of CO2 in our atmosphere are essential for mitigating the risks of climate change, and novel chemistry is required for such technologies to work at scale. Here, we highlight challenges that chemists must overcome to realize the Holy Grail of an economically viable strategy for CO2 capture, utilization, and storage.;2017;1;0;X
Stability of a Benzyl Amine Based CO2 Capture Adsorbent in View of Regeneration Strategies;In this work, the chemical and thermal stability of a primary amine-functionalized ion-exchange resin (Lewatit VP OC 1065) is studied in view of the potential options of regenerating this sorbent in a CO2 removal application. The adsorbent was treated continuously in the presence of air, different O-2/CO2/N, mixtures, concentrated CO2, and steam, and then the remaining CO, adsorption capacity was measured. Elemental analysis, BET/BJH analysis, Fourier transform infrared spectroscopy, and thermogravirnetric analysis were applied to characterize adsorbent properties. This material was found to be thermally and hydrothermally stable at high temperatures. However, significant oxidative degradation occurred already at moderate temperatures (above 70 degrees C). Temperatures above 120 degrees C lead to degradation in concentrated dry CO2. Adding moisture to the concentrated CO2 stream improves the CO2-induced stability. Adsorbent regeneration with nitrogen stripping is studied with various parameters, focusing on minimizing the moles of purge gas required per mole of CO2 desorbed.;2017;1;0;
