au	py	ti	section	db	full-text
Anderson K &amp; Peters G 	2016	The trouble with negative emissions. 	GENERAL	not found	Anderson K &amp; Peters G (2016) The trouble with negative emissions. <i>Science</i>, 354,182-183. 
Bahn O, Chesney M, Gheyssens , Knutti R &amp; Pana AC 	2015	Is there room for geoengineering in the optimal climate 	GENERAL	not found	Bahn O, Chesney M, Gheyssens , Knutti R &amp; Pana AC (2015) Is there room for geoengineering in the optimal climate 
Barrett S, Lenton TM, Mil ner A, Tavoni A et al 	2014	Climate engineering reconsidered. 	GENERAL	not found	Barrett S, Lenton TM, Mil ner A, Tavoni A et al (2014) Climate engineering reconsidered. <i>Nature Climate Change</i> 4, 
Boucher O, Forster PM, Gruber N, Ha-Duaong M et al. 	2014	Rethinking climate engineering categorization in the 	GENERAL	not found	Boucher O, Forster PM, Gruber N, Ha-Duaong M et al. (2014) Rethinking climate engineering categorization in the 
Brienen RJW, Phil ips OL, Feldpausch TR, Gloor E et al. 	2015	Long-term decline of the Amazon carbon sink. 	GENERAL	not found	Brienen RJW, Phil ips OL, Feldpausch TR, Gloor E et al. (2015) Long-term decline of the Amazon carbon sink. <i>Nature</i> 
Caldecott B, Lomax G &amp; Workman M 	2015	Stranded Carbon Assets and Negative Emissions Technologies	GENERAL	not found	Caldecott B, Lomax G &amp; Workman M (2015) <i>Stranded Carbon Assets and Negative Emissions Technologies</i>. Working 
DECC (UK Department of Energy &amp; Climate Change) and partners 	2015	Prosperous Living for the World in 2050: 	GENERAL	not found	DECC (UK Department of Energy &amp; Climate Change) and partners (2015) <i>Prosperous Living for the World in 2050: </i>
Erbach G 	2015	Negative Greenhouse Gas Emissions. Assessments of Feasibility, Potential Effectiveness, Costs and 	GENERAL	not found	Erbach G (2015) <i>Negative Greenhouse Gas Emissions. Assessments of Feasibility, Potential Effectiveness, Costs and </i>
www.europarl.europa.eu/RegData/etudes/BRIE/2015/559498/EPRS_BRI	2015	559498_EN.pdf 	GENERAL	not found	www.europarl.europa.eu/RegData/etudes/BRIE/2015/559498/EPRS_BRI(2015)559498_EN.pdf 
Gasser T, Guivarch C, Tachi ri K, Jones CD &amp; Ciais P 	2015	Negative emissions physically needed to keep global 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000360346700013	Gasser T, Guivarch C, Tachi ri K, Jones CD &amp; Ciais P (2015) Negative emissions physically needed to keep global 
