au	py	ti	section	db	full-text	found
Anderson K &amp; Peters G 	2016	The trouble with negative emissions. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000387816500024	Anderson K &amp; Peters G (2016) The trouble with negative emissions. Science, 354,182-183.	2
Bahn O, Chesney M, Gheyssens , Knutti R &amp; Pana AC 	2015	Is there room for geoengineering in the optimal climate 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000352248100007	Bahn O, Chesney M, Gheyssens , Knutti R &amp; Pana AC (2015) Is there room for geoengineering in the optimal climate	2
Barrett S, Lenton TM, Mil ner A, Tavoni A et al 	2014	Climate engineering reconsidered. 	GENERAL	not found	Barrett S, Lenton TM, Mil ner A, Tavoni A et al (2014) Climate engineering reconsidered. Nature Climate Change 4,	0
Boucher O, Forster PM, Gruber N, Ha-Duaong M et al. 	2014	Rethinking climate engineering categorization in the 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000328559200004	Boucher O, Forster PM, Gruber N, Ha-Duaong M et al. (2014) Rethinking climate engineering categorization in the	2
Brienen RJW, Phil ips OL, Feldpausch TR, Gloor E et al. 	2015	Long-term decline of the Amazon carbon sink. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000351171900039	Brienen RJW, Phil ips OL, Feldpausch TR, Gloor E et al. (2015) Long-term decline of the Amazon carbon sink. Nature	2
Caldecott B, Lomax G &amp; Workman M 	2015	Stranded Carbon Assets and Negative Emissions Technologies	GENERAL	not found	Caldecott B, Lomax G &amp; Workman M (2015) Stranded Carbon Assets and Negative Emissions Technologies. Working	0
DECC (UK Department of Energy &amp; Climate Change) and partners 	2015	Prosperous Living for the World in 2050: 	GENERAL	not found	DECC (UK Department of Energy &amp; Climate Change) and partners (2015) Prosperous Living for the World in 2050:	0
Erbach G 	2015	Negative Greenhouse Gas Emissions. Assessments of Feasibility, Potential Effectiveness, Costs and 	GENERAL	not found	Erbach G (2015) Negative Greenhouse Gas Emissions. Assessments of Feasibility, Potential Effectiveness, Costs and	0
www.europarl.europa.eu/RegData/etudes/BRIE/2015/559498/EPRS_BRI	2015	559498_EN.pdf 	GENERAL	not found	www.europarl.europa.eu/RegData/etudes/BRIE/2015/559498/EPRS_BRI(2015)559498_EN.pdf	0
Gasser T, Guivarch C, Tachi ri K, Jones CD &amp; Ciais P 	2015	Negative emissions physically needed to keep global 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000360346700013	Gasser T, Guivarch C, Tachi ri K, Jones CD &amp; Ciais P (2015) Negative emissions physically needed to keep global	1
Rohling EJ &amp; Shakun J  	2016	Young people's burden: Requirement of negative CO2 emissions. 	GENERAL	not found	Rohling EJ &amp; Shakun J  (2016) Young people's burden: Requirement of negative CO2 emissions. Earth System	0
Haszeldine RS 	2016	Can CCS and NET enable the continued use of fossil carbon fuels after CoP21? 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000375089000007	Haszeldine RS (2016) Can CCS and NET enable the continued use of fossil carbon fuels after CoP21? Oxford Review of	1
Jami T, Rawtani D &amp; Agrawal YK 	2016	Hemp concrete: carbon-negative construction. 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000392287200011	Jami T, Rawtani D &amp; Agrawal YK (2016) Hemp concrete: carbon-negative construction. Emerging Materials Research	2
Harrison R &amp; Hester R (Eds.) 	2014	Geoengineering of the Climate System	GENERAL	not found	Harrison R &amp; Hester R (Eds.) (2014) Geoengineering of the Climate System. Issues in Environmental Science &amp;	0
Heck V, Gerten D, Lucht W &amp; Boysen LR 	2016	Is extensive terrestrial carbon dioxide removal a ‘green’ form of 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000370454700010	Heck V, Gerten D, Lucht W &amp; Boysen LR (2016) Is extensive terrestrial carbon dioxide removal a ‘green’ form of	1
Heck V, Donges JF &amp; Lucht W 	2016	Collateral transgression of planetary boundaries due to climate engineering by 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000387457900001	Heck V, Donges JF &amp; Lucht W (2016) Collateral transgression of planetary boundaries due to climate engineering by	1
Hulme M 	2014	Can Science Fix Climate Change? A Case against Climate Engineering	GENERAL	not found	Hulme M (2014) Can Science Fix Climate Change? A Case against Climate Engineering. Polity Press, Cambridge UK,	0
Kartha S &amp; Dooley K 	2016	The Risks of Relying on Tomorrow’s ‘Negative Emissions’ to Guide Today’s Mitigation 	GENERAL	not found	Kartha S &amp; Dooley K (2016) The Risks of Relying on Tomorrow’s ‘Negative Emissions’ to Guide Today’s Mitigation	0
Kel er DP, Feng EY &amp; Oschlies 	2014	Potential climate engineering effectiveness and side effects during a high carbon 	GENERAL	https://apsis.mcc-berlin.net/scoping/document/WOS:000332668000004	Kel er DP, Feng EY &amp; Oschlies (2014) Potential climate engineering effectiveness and side effects during a high carbon	1
Kruger T 	2015	Dimensions of Geoengineering – an Analysis of the Royal Society’s ‘Blob’ Diagram	GENERAL	not found	Kruger T (2015) Dimensions of Geoengineering – an Analysis of the Royal Society’s ‘Blob’ Diagram.  Climate	0
Lefale PF &amp; Anderson CL 	2014	Climate Engineering and Small Island States: Panacea or Catastrophe?	GENERAL	not found	Lefale PF &amp; Anderson CL (2014) Climate Engineering and Small Island States: Panacea or Catastrophe? Opinion Article,	0
