"","AU","PY","TI","variable","year","potsinclude","measurement","valueEJ_orig","valueWintercept","valueCO_nullintercpt"
"1","Dornburg, V; van Vuuren, D; van de Ven, G; Langeveld, H; Meeusen, M; Banse, M; van Oorschot, M; Ros, J; van den Born, GJ; Aiking, H; Londo, M; Mozaffarian, H; Verweij, P; Lysen, E; Faaij, A",2010,"Bioenergy revisited: Key factors in global potentials of bioenergy","Waste","2050",TRUE,"estimate",100,3.550077,5.506451
"2","Smeets, EMW; Faaij, APC",2007,"Bioenergy potentials from forestry in 2050 - An assessment of the drivers that determine the potentials","Forestry","2050",TRUE,"estimate",64,1.75648284,3.52412864
"3","Erb, KH; Haberl, H; Plutzar, C",2012,"Dependency of global primary bioenergy crop potentials in 2050 on food systems, yields, biodiversity conservation and political stability","Bioenergy Crops","2050",TRUE,"estimate",77,2.40416962,4.23996727
"4","van Vuuren, DP; van Vliet, J; Stehfest, E",2009,"Future bio-energy potential under various natural constraints","Bioenergy Crops","2050",TRUE,"estimate",48.8163074750422,1,2.68804605112253
"5","Cornelissen et al",2012,"the role of bioenergy in a fully sustainable global energy system","Forestry","2050",TRUE,"estimate",48.8163074750422,1,2.68804605112253
"6","Rogner et al",2012,"Chapter 7 - energy resources and potentials. In: Global Energy assessment - Toward a Sustainable future","Residues","2050",TRUE,"estimate",49,1.00915194,2.69816099
"7","Rogner et al",2012,"Chapter 7 - energy resources and potentials. In: Global Energy assessment - Toward a Sustainable future","Waste","2050",TRUE,"estimate",50,1.058974,2.7532255
"8","Searle, S; Malins, C",2015,"A reassessment of global bioenergy potential in 2050","Total","2050",TRUE,"estimate",90,3.0518564,4.9558059
"9","Yamamoto, H; Fujino, J; Yamaji, K",2001,"Evaluation of bioenergy potential with a multi-regional global-land-use-and-energy model","Residues","2050",TRUE,"estimate",72,2.15505932,3.96464472
"10","Cornelissen et al",2012,"the role of bioenergy in a fully sustainable global energy system","Residues","2050",TRUE,"estimate",101,3.59989906,5.56151551
"11","Yamamoto, H; Fujino, J; Yamaji, K",2001,"Evaluation of bioenergy potential with a multi-regional global-land-use-and-energy model","Bioenergy Crops","2050",TRUE,"estimate",110,4.0482976,6.0570961
"12","Cornelissen et al",2012,"the role of bioenergy in a fully sustainable global energy system","Bioenergy Crops","2050",TRUE,"estimate",115,4.2974079,6.33241865
"13","Cornelissen et al",2012,"the role of bioenergy in a fully sustainable global energy system","Total","2050",TRUE,"estimate",340,15.5073714,18.7219334
"14","Lauri, P; Havlik, P; Kindermann, G; Forsell, N; Bottcher, H; Obersteiner, M",2014,"Woody biomass energy potential in 2050","Forestry","2050",TRUE,"max",165,6.7885109,9.08564415
"15","Hoogwijk, M; Faaij, A; Eickhout, B; de Vries, B; Turkenburg, W",2005,"Potential of biomass energy out to 2100, for four IPCCS RES land-use scenarios","Bioenergy Crops","2050",TRUE,"max",243,10.67463158,13.38067593
"16","Dornburg, V; van Vuuren, D; van de Ven, G; Langeveld, H; Meeusen, M; Banse, M; van Oorschot, M; Ros, J; van den Born, GJ; Aiking, H; Londo, M; Mozaffarian, H; Verweij, P; Lysen, E; Faaij, A",2010,"Bioenergy revisited: Key factors in global potentials of bioenergy","Waste","2050",TRUE,"max",180,7.5358418,9.9116118
"17","Beringer, T; Beringer, T; Lucht, W; Lucht, W; Schaphoff, S",2011,"Bioenergy production potential of global biomass plantations under environmental and agricultural constraints","Bioenergy Crops","2050",TRUE,"max",174,7.23690944,9.58122474
"18","Hakala, K; Kontturi, M; Pahkala, K",2009,"Field biomass as global energy source","Residues","2050",TRUE,"max",48.8163074750422,1,2.68804605112253
"19","Smeets, EMW; Faaij, APC",2007,"Bioenergy potentials from forestry in 2050 - An assessment of the drivers that determine the potentials","Forestry","2050",TRUE,"max",86,2.85256816,4.73554786
"20","Erb, KH; Haberl, H; Plutzar, C",2012,"Dependency of global primary bioenergy crop potentials in 2050 on food systems, yields, biodiversity conservation and political stability","Bioenergy Crops","2050",TRUE,"max",141,5.59278146,7.76409591
"21","Rogner et al",2012,"Chapter 7 - energy resources and potentials. In: Global Energy assessment - Toward a Sustainable future","Bioenergy Crops","2050",TRUE,"max",133,5.19420498,7.32357983
"22","Thraen",2010,"Global biomass potentials ñ resources, drivers and scenario results","Bioenergy Crops","2050",TRUE,"max",120,4.5465182,6.6077412
"23","Hakala, K; Kontturi, M; Pahkala, K",2009,"Field biomass as global energy source","Bioenergy Crops","2050",TRUE,"max",70,2.0554152,3.8545157
"24","Rogner et al",2012,"Chapter 7 - energy resources and potentials. In: Global Energy assessment - Toward a Sustainable future","Forestry","2050",TRUE,"max",48.8163074750422,1,2.68804605112253
"25","van Vuuren, DP; van Vliet, J; Stehfest, E",2009,"Future bio-energy potential under various natural constraints","Bioenergy Crops","2050",TRUE,"max",58.8520225779504,1.5,3.24065778576378
"26","Cornelissen et al",2012,"the role of bioenergy in a fully sustainable global energy system","Forestry","2050",TRUE,"max",58.8520225779504,1.5,3.24065778576378
"27","Rogner et al",2012,"Chapter 7 - energy resources and potentials. In: Global Energy assessment - Toward a Sustainable future","Residues","2050",TRUE,"max",59.0357151029082,1.50915194,3.25077272464124
"28","Gregg, JS; Gregg, JS; Smith, SJ",2010,"Global and regional potential for bioenergy from agricultural and forestry residue biomass","Residues","2050",TRUE,"max",100,3.550077,5.506451
