"","X1","X2","X3","technology"
"1","Renforth, P (a)","2012","The potential of enhanced weathering in the UK","Enhanced weathering (terrestrial and ocean)"
"4","Schuiling & Krijgsman","2006","ENHANCED WEATHERING: AN EFFECTIVE AND CHEAP TOOL TO SEQUESTER CO2","Enhanced weathering (terrestrial and ocean)"
"5","Köhler et al.","2010","Geoengineering potential of artificially enhanced silicate weathering of olivine","Enhanced weathering (terrestrial and ocean)"
"6","Taylor et al.","2016","Enhanced weathering strategies for stabilizing climate and averting ocean acidification","Enhanced weathering (terrestrial and ocean)"
"7","Hangx & Spiers","2009","Coastal spreading of olivine to control atmospheric CO2 concentrations: A critical analysis of viability","Enhanced weathering (terrestrial and ocean)"
"8","ten Berge et al.","2012","Olivine Weathering in Soil, and Its Effects on Growth and Nutrient Uptake in Ryegrass (Lolium perenne L.): A Pot Experiment","Enhanced weathering (terrestrial and ocean)"
"9","Montserrat et al.","2017","Olivine Dissolution in Seawater: Implications for CO2 Sequestration through Enhanced Weathering in Coastal Environments","Enhanced weathering (terrestrial and ocean)"
"10","Hartmann & Kempe","2008","What is the maximum potential for CO2 sequestration by “stimulated” weathering on the global scale?","Enhanced weathering (terrestrial and ocean)"
"11","Hauck et al.","2016","Iron fertilisation and century-scale effects of open ocean dissolution of olivine in a simulated CO2 removal experiment","Enhanced weathering (terrestrial and ocean)"
"12","Köhler et al.","2013","Geoengineering impact of open ocean dissolution of olivine on atmospheric CO2, surface ocean pH and marine biology","Enhanced weathering (terrestrial and ocean)"
"13","Manning & Renforth","2013","Passive sequestration of atmospheric CO2 through coupled plant-mineral reactions in urban soils","Enhanced weathering (terrestrial and ocean)"
"14","Renforth et al","2011","Silicate Production and Availability for Mineral Carbonation","Enhanced weathering (terrestrial and ocean)"
"15","Morales-Fl´ores et al.","2011","Artificial weathering pools of calcium-rich industrial waste for CO2 sequestration","Enhanced weathering (terrestrial and ocean)"
"16","Wilson et al.","2009","Carbon Dioxide Fixation within Mine Wastes of Ultramafic-Hosted Ore Deposits: Examples from the Clinton Creek and Cassiar Chrysotile Deposits, Canada","Enhanced weathering (terrestrial and ocean)"
"17","House et al.","2007","Electrochemical Acceleration of Chemical Weathering as an Energetically Feasible Approach to Mitigating Anthropogenic Climate Change","Enhanced weathering (terrestrial and ocean)"
"18","Fujii, M, Yamasaki, A, Kakizawa, M, Yanagisawa, Y","2001","Reduction of CO2 emission by treatment of waste concrete via an artificial weathering process.","Enhanced weathering (terrestrial and ocean)"
"19","Hartmann, J, West, AJ, Renforth, P, Köhler, P, de la Rocha, C, Wolf-Gladrow, D, Dürr, HH, Scheffran, J","2013","Enhanced chemical weathering as a geoengineering strategy to reduce atmospheric carbon dioxide, supply nutrients, and mitigate ocean acidification","Enhanced weathering (terrestrial and ocean)"
"20","Röös,E., Bajzelj, B., Smith, P., Patel, M., Little, D., Garnett,T.","2017","Protein futures for Western Europe: potential land use and climate impacts in 2050","Afforestation and Reforestation"
"21","Lautenbach, S., Jungandreas, A., Blankec, J., Lehstenc, V., Mühlner, S., Kühn, I., Volk, M.","2017","Trade-offs between plant species richness and carbon storage in the context of afforestation: Examples from afforestation scenarios in the Mulde Basin, Germany","Afforestation and Reforestation"
"22","Deng, Q., McMahon, D.E., Xiang, Y., Yu, C.L., Jackson,R.B., Hui, D.","2017","A global meta-analysis of soil phosphorus dynamics after afforestation","Afforestation and Reforestation"
"23","Harrell, S., Zhai, D.L., Trac, C.J., Zinda, J.A.","2017","Dual-function forests in the returning farmland to forest program andthe flexibility of environmental policy in China","Afforestation and Reforestation"
"24","Holmes, I., Kirby, K.R., Potvin, C.","2016","Agroforestry within REDD+: experiences of an indigenous EmberÃ¡ community in Panama","Afforestation and Reforestation"
"25","Rodriguez, L.G., Hogarth, N.J., Zhou, W., Xie, C., Zhang, K., Putzel, L.","2016","China's conversion of cropland to forest program: A systematic review of the environmental and socioeconomic effects","Afforestation and Reforestation"
"26","Cheng C.H., Y.S. Huang, O.V. Menyailo, and C.T. Chen","2016","Stand development and aboveground biomass carbon accumulation with cropland afforestation in Taiwan","Afforestation and Reforestation"
"27","Juan J. Monge, Henry L.Bryant, Jianbang Gan, James W. Richardson","2016","Land use and general equilibrium implications of a forest-based carbon sequestration policy in the United States","Afforestation and Reforestation"
"28","Syktus and McAlpine","2016","More than carbon sequestration: Biophysical climate benefits of restored savanna woodlands","Afforestation and Reforestation"
"29","Sebastian Sonntag, Julia Pongratz, Christian H. Reick, and Hauke Schmidt","2016","Reforestation in a high-CO2 world-Higher mitigation potential than expected, lower adaptation potential than hoped for","Afforestation and Reforestation"
"30","Yitong Yao, Xuhui Wang, Zhenzhong Zeng, Yongwen Liu, Shushi Peng, Zaichun Zhu, Shilong Piao","2016","The Effect of Afforestation on Soil Moisture Content in Northeastern China","Afforestation and Reforestation"
"31","Ulrich Kreidenweis, Florian Humpenöder, Miodrag Stevanovic, Benjamin Leon Bodirsky, Elmar Kriegler, Hermann Lotze-Campen and Alexander Popp","2016","Afforestation to mitigate climate change: impacts on food prices under consideration of albedo effects","Afforestation and Reforestation"
"32","Kim, D., Lim, C. H., Song, C., Lee, W. K., Piao, D., Heo, S., & Jeon, S.","2016","Estimation of future carbon budget with climate change and reforestation scenario in North Korea","Afforestation and Reforestation"
"33","Yibo Liu, Jingfeng Xiao, Weimin Ju, Ke Xu, Yanlian Zhou and Yuntai Zhao","2016","Recent trends in vegetation greenness in China significantly altered annual evapotranspiration and water yield","Afforestation and Reforestation"
"34","Long-Fei Chena, Zhi-Bin Hea, Xi Zhua, Jun Dua, Jun-Jun Yanga, Jing Lia","2016","Impacts of afforestation on plant diversity, soil properties, and soil organic carbon storage in a semi-arid grassland of northwestern China","Afforestation and Reforestation"
"35","Sharif A. Mukul, John Herbohn and Jennifer Firn","2016","Co-benefits of biodiversity and carbon sequestration from regenerating secondary forests in the Philippine uplands: implications for forest landscape restoration","Afforestation and Reforestation"
"36","Connor, J. D., Bryan, B. A. & Nolan, M.","2016","Cap and trade policy for managing water competition from potential future carbon plantations","Afforestation and Reforestation"
"37","Xiaoming Feng, Bojie Fu, Shilong Piao, Shuai Wang, Philippe Ciais, Zhenzhong Zeng, Yihe Lü, Yuan Zeng, Yue Li, Xiaohui Jiang & Bingfang Wu","2016","Revegetation in China's Loess Plateau is approaching sustainable water resource limits","Afforestation and Reforestation"
"38","FERNANDES, G. W.; COELHO, M. S.; MACHADO, R. B.; FERREIRA, M. E.; AGUIAR, L. M. de S.; DIRZO, R.; SCARIOT, A.; LOPES, C. R.","2016","Afforestation of savannas: an impending ecological disaster","Afforestation and Reforestation"
"39","Zhi-lian Gong, Ya Tang","2016","Impacts of reforestation on woody species composition, species diversity and community structure in dry-hot valley of the Jinsha River, southwestern China","Afforestation and Reforestation"
"40","Keryn I. Paul, Shaun C. Cunningham, Jacqueline R. England, Stephen H. Roxburgh, Noel D. Preece, Tom Lewis, Kim Brooksbank, Debbie F. Crawford, Philip J. Polglase","2016","Managing reforestation to sequester carbon, increase biodiversity potential and minimize loss of agricultural land","Afforestation and Reforestation"
"41","Spracklen, D. V., Righelato, R.","2015","Carbon storage and sequestration of re-growing montane forests in southern Ecuador","Afforestation and Reforestation"
"42","Haim, D., White, E.M., Alig, R.J.","2015","Agriculture Afforestation for Carbon Sequestration Under Carbon Markets in the United States: Leakage Behavior from Regional Allowance Programs","Afforestation and Reforestation"
"43","Kim, Taeyoung., Langpap, Christian","2015","Agricultural landowners' response to incentives for afforestation","Afforestation and Reforestation"
"44","Ovando, P., Oviedo, J.L., Campos, P.","2015","Measuring total social income of a stone pine afforestation in Huelva (Spain)","Afforestation and Reforestation"
"45","S.C. Cunningham, R. MacNally, P.J. Baker, T.R. Cavagnaro, J. Beringer, J.R. Thomson, R.M. Thompson","2015","Balancing the environmental benefits of reforestation in agricultural regions","Afforestation and Reforestation"
"46","Matzek, Puleston, Gunn","2015","Can carbon credits fund riparian forest restoration?","Afforestation and Reforestation"
